gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj
Q0020,2846.323,-2.954331,0.471472,1.498179e-12,2.754478e-11
Q0050,97393.6,-2.344345,0.27510147,6.900713999999999e-19,5.149556e-17
Q0055,9176.751,-1.288245,0.37085969,1.862776e-4,6.567865e-4
Q0060,1104.39,-1.149688,0.29173206,3.756238e-5,1.566458e-4
Q0085,107.7831,-2.908972,0.469823,2.909291e-12,5.000985e-11
Q0105,4.0624,-1.615824,0.67694091,0.00233962,0.00625905
Q0140,23.95531,-1.570197,0.41775128,3.708219e-5,1.549489e-4
Q0158,122130.6,-2.986256,0.30732174,1.106544e-24,1.896975e-22
tE(UUC)Q,1.161039,-1.985767,1.30637459,0.001372225,0.003920732
YAL008W,69.48535,-1.129973,0.32747342,2.607679e-4,8.85466e-4
YAL010C,17.28728,-1.02853,0.37786389,0.003341501,0.008529231
YAL049C,38.99791,-1.036157,0.33562806,0.001055021,0.003096715
YAL061W,146.7188,-1.273271,0.46213461,0.002025038,0.005536559
YAL062W,51.9776,-1.233815,0.48390406,0.003875852,0.009740489
YAL063C,189.8724,-1.056782,0.45943213,0.01009207,0.0226118
YAR027W,17.17666,-1.349272,0.63112386,0.00809995,0.01863223
YAR035W,43.35165,-1.23762,0.450371,0.0022082,0.005955191
YAR061W,94.53537,-3.345173,0.47504399,1.384738e-15,4.647297e-14
YBL003C,167.2104,-1.940948,0.30780988,3.246255e-11,4.535461e-10
YBL013W,16.05201,-1.872918,0.4447845,2.909523e-6,1.54436e-5
YBL016W,15.59082,-1.371053,0.50286759,0.001812455,0.00502465
YBL029W,124.3666,-1.162493,0.23200903,2.535688e-7,1.637869e-6
YBL030C,129.8992,-1.609287,0.30865972,4.081124e-8,3.085408e-7
YBL037W,81.91718,-1.578908,0.23876384,9.156746e-12,1.441222e-10
YBL044W,4.064551,-1.319262,0.66149558,0.01153992,0.02542469
YBL045C,132.0105,-1.74536,0.27488641,3.758998e-11,5.172087e-10
YBL055C,24.16985,-1.184616,0.42736654,0.002259386,0.006064869
YBL064C,447.5942,-1.149422,0.31398925,1.151124e-4,4.264943e-4
YBL071C,6.908014,-2.717846,0.78239771,3.045801e-6,1.607281e-5
YBL089W,72.80439,-1.889977,0.22892078,2.005861e-17,1.009776e-15
YBL098W,65.94447,-2.243265,0.40020743,1.033556e-9,1.050616e-8
YBL102W,23.82501,-1.17121,0.3738584,7.428818e-4,0.002264944
YBL111C,32.60253,-4.23929,0.95860471,1.067201e-9,1.075185e-8
YBR004C,116.1163,-1.161847,0.31474968,1.003721e-4,3.76722e-4
YBR005W,18.67795,-1.640908,0.47564522,1.0011e-4,3.763175e-4
YBR006W,56.55904,-1.656552,0.40284137,7.328113e-6,3.564588e-5
YBR009C,132.685,-2.708756,0.49371883,4.141578e-10,4.568701e-9
YBR010W,134.1459,-2.123613,0.38856561,3.161188e-9,2.940091e-8
YBR013C,31.92051,-1.001308,0.36491699,0.003252778,0.008336311
YBR019C,8.942577,-1.6117,0.55553125,6.336155e-4,0.001960499
YBR022W,30.29158,-1.397091,0.34975009,2.011013e-5,8.913947e-5
YBR037C,79.69064,-1.2613,0.28273593,3.247524e-6,1.700995e-5
YBR039W,123.4841,-2.796496,0.3843464,2.98603e-15,9.149946e-14
YBR042C,48.68463,-1.127849,0.36385542,8.867168e-4,0.0026568
YBR054W,167.4795,-2.385036,0.37488162,6.933743e-12,1.110625e-10
YBR056W-A,21.50016,-1.881829,0.6735774,4.012739e-4,0.001309974
YBR058C-A,28.58024,-1.551658,0.42265495,5.39775e-5,2.164218e-4
YBR061C,10.26447,-1.291692,0.488432,0.00267634,0.007049845
YBR077C,52.293,-1.826401,0.31103237,6.195608e-10,6.582704e-9
YBR085C-A,164.282,-1.617456,0.57451206,7.983197e-4,0.002422843
YBR096W,68.14106,-1.685351,0.27711429,2.319003e-10,2.640833e-9
YBR097W,138.9658,-1.246485,0.24751551,1.966512e-7,1.300687e-6
YBR104W,72.49022,-1.971479,0.39490584,5.802061e-8,4.225312e-7
YBR107C,6.596827,-1.667895,0.60792139,8.514918e-4,0.002560935
YBR111W-A,9.718003,-1.821379,0.5066334,3.829964e-5,1.591504e-4
YBR127C,83.60599,-1.010174,0.30605489,5.270064e-4,0.00167643
YBR132C,169.0498,-1.803908,0.43154005,3.924569e-6,2.018941e-5
YBR133C,100.4785,-1.030333,0.24846578,1.843999e-5,8.236964e-5
YBR139W,151.9951,-1.961877,0.2777427,1.79409e-13,3.883929e-12
YBR144C,5.109752,-1.941499,0.61380825,1.175764e-4,4.343549e-4
YBR145W,57.06034,-2.485001,0.4446379,5.316082e-10,5.720159e-9
YBR149W,112.5401,-2.126879,0.27925399,1.980041e-15,6.343131e-14
YBR159W,67.65897,-1.935795,0.31023778,5.005539e-11,6.741005e-10
YBR163W,114.8944,-1.319888,0.22929356,3.218804e-9,2.976456e-8
YBR164C,14.2456,-1.041063,0.46900107,0.01260861,0.02754009
YBR175W,24.82505,-1.095898,0.48277928,0.01018364,0.02276069
YBR182C-A,9.506652,-1.206476,0.55842342,0.01067175,0.02370961
YBR194W,22.22409,-2.571139,0.38170116,3.175407e-13,6.560785e-12
YBR195C,40.05144,-1.915377,0.3266235,5.314352e-10,5.720159e-9
YBR201C-A,5.762446,-2.389998,0.91584296,1.075624e-4,4.020439e-4
YBR201W,79.26677,-1.213666,0.28835335,1.090161e-5,5.148841e-5
YBR204C,32.30248,-1.973559,0.38172221,2.296382e-8,1.834502e-7
YBR210W,33.45073,-2.732648,0.42711073,1.628202e-12,2.967726e-11
YBR211C,96.94118,-1.563968,0.24871181,7.967389e-11,1.001509e-9
YBR221C,37.46738,-1.366734,0.35201586,3.362166e-5,1.41891e-4
YBR223C,35.19882,-1.273579,0.27576623,1.518393e-6,8.448392e-6
YBR230C,279.7449,-2.411119,0.3322645,1.356398e-14,3.840908e-13
YBR230W-A,36.39179,-1.088057,0.32348726,3.793876e-4,0.001243004
YBR233W-A,4.591062,-2.114568,0.89947006,4.704515e-4,0.001515528
YBR235W,91.43944,-1.366554,0.23779477,3.158552e-9,2.940091e-8
YBR240C,10.45276,-1.09608,0.57723207,0.02308774,0.04665356
YBR244W,13.47545,-1.059943,0.49580974,0.01481874,0.03175517
YBR251W,61.88829,-1.323272,0.33698594,3.028497e-5,1.291846e-4
YBR254C,9.296413,-2.411843,0.72458512,1.481278e-5,6.759531e-5
YBR270C,46.42496,-1.10007,0.27198071,2.60854e-5,1.126342e-4
YBR284W,158.0747,-1.097061,0.30283483,1.436396e-4,5.191489e-4
YBR285W,62.04554,-2.34211,0.38964362,7.112511e-11,9.131621e-10
YBR291C,28.68261,-1.118121,0.48628485,0.009117963,0.02065013
YBR295W,106.9398,-1.142858,0.20504938,1.208203e-8,1.017746e-7
YBR296C,9.354498,-1.651084,0.63271215,0.001260283,0.003630325
YBR297W,1012.199,-3.420293,0.39879244,4.956299e-21,5.070614e-19
YBR298C,1007.116,-1.599533,0.30329604,3.011098e-8,2.337747e-7
YBR299W,2349.121,-4.629567,0.42764454,2.516465e-31,1.0641289999999998e-28
YCL002C,38.97277,-1.528223,0.30495989,1.384155e-7,9.420277e-7
YCL008C,25.72462,-1.066432,0.36227173,0.001608035,0.004507188
YCL012C,75.89382,-1.29099,0.4439467,0.001241583,0.003581339
YCL030C,126.6891,-2.417086,0.43517797,8.092978e-10,8.360547e-9
YCL038C,60.63691,-2.41676,0.34313896,6.235491e-14,1.527093e-12
YCL039W,95.85819,-1.188846,0.24579403,5.918734e-7,3.528433e-6
YCL040W,306.0073,-2.245809,0.29205581,8.252586e-16,2.908119e-14
YCL042W,40.6678,-2.497749,0.52376429,3.607404e-8,2.746911e-7
YCL048W,8.007048,-1.325094,0.54674519,0.004470922,0.01101323
YCL049C,107.6068,-2.441177,0.21793837,1.422691e-30,5.612546999999999e-28
YCR003W,291.755,-1.056867,0.23141158,2.63896e-6,1.411939e-5
