gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj
Q0110,237.5755,1.248008,0.60751043,0.01589069,0.03148849
YAL003W,339.878,1.460343,0.33688296,5.614738e-6,2.293257e-5
YAL007C,89.64924,1.416078,0.26042533,2.303875e-8,1.452632e-7
YAL012W,169.7128,1.652731,0.48629831,1.697523e-4,5.262654e-4
YAL019W,325.8194,1.79895,0.21220433,5.747497e-18,1.888931e-16
YAL023C,84.96818,1.650173,0.33555937,2.571286e-7,1.341255e-6
YAL024C,153.5868,1.966164,0.2422843,8.547142e-17,2.326803e-15
YAL025C,154.6554,2.196738,0.36255264,1.205315e-10,1.12266e-9
YAL029C,182.0925,1.317775,0.1929238,4.15245e-12,5.065191e-11
YAL034W-A,15.97408,1.477275,0.47914841,6.813539e-4,0.001866074
YAL035W,3709.441,1.218717,0.22716593,4.33667e-8,2.582864e-7
YAL036C,95.42041,2.195004,0.36370841,1.40401e-10,1.298198e-9
YAL043C,136.438,1.083669,0.26305462,2.267066e-5,8.226544e-5
YAL053W,167.6226,2.012461,0.20474739,1.377494e-23,1.138901e-21
YAL059W,48.00991,1.262576,0.3016542,1.409709e-5,5.328836e-5
YAR002C-A,73.73389,1.832692,0.28964215,5.544671e-11,5.486716e-10
YAR008W,24.20052,2.202061,0.43247061999999997,2.814171e-8,1.7381e-7
YAR014C,148.9108,1.5643,0.18847508,3.809807e-17,1.088541e-15
YAR018C,10.9802,1.131266,0.550804,0.01936492,0.03750749
YAR042W,604.0617,1.170513,0.1570471,5.213769e-14,8.938092e-13
YBL004W,458.4792,1.891935,0.23040281,4.528621e-17,1.26542e-15
YBL010C,48.9875,2.029663,0.35410706,1.365977e-9,1.071e-8
YBL023C,141.2786,2.060231,0.2613765,4.496638e-16,1.080385e-14
YBL024W,389.0724,1.915396,0.26210185,5.243009e-14,8.963991e-13
YBL031W,12.03667,1.625693,0.49140177,2.447085e-4,7.398407e-4
YBL034C,209.2005,1.43754,0.25499097,7.186457e-9,5.014708e-8
YBL035C,73.35337,1.822713,0.28473885,3.504303e-11,3.637937e-10
YBL039C,228.556,2.288796,0.37478855,6.70143e-11,6.519505e-10
YBL052C,383.9495,1.466759,0.22022564,1.11825e-11,1.280336e-10
YBL054W,43.03708,1.598624,0.40889164,2.75258e-5,9.853055e-5
YBL061C,377.2897,1.32769,0.20748272,7.552938e-11,7.269846e-10
YBL072C,410.1082,1.492481,0.46690106,4.582312e-4,0.001302222
YBL076C,476.0889,1.150186,0.2031842,8.665892e-9,5.955336e-8
YBL087C,126.3357,1.134694,0.56811242,0.02176626,0.04164807
YBL092W,690.3767,1.365241,0.518871,0.003177281,0.007511553
YBL093C,104.7602,1.235509,0.27973318,5.159625e-6,2.118677e-5
YBL097W,256.5823,1.372998,0.24505421,9.53184e-9,6.508123e-8
YBL113C,86.56154,1.082389,0.23227823,1.91168e-6,8.461817e-6
YBR007C,220.7198,1.520862,0.23553059,4.039787e-11,4.132962e-10
YBR017C,253.8332,1.503804,0.17476815,3.049011e-18,1.039778e-16
YBR025C,780.2726,1.416114,0.19607878,2.248798e-13,3.530724e-12
YBR030W,83.07708,2.29768,0.30982561,8.331202e-15,1.621007e-13
YBR034C,45.8799,1.169988,0.32395139,1.636671e-4,5.093918e-4
YBR038W,337.5351,1.41216,0.2271567,2.212215e-10,1.970798e-9
YBR045C,31.46305,1.589147,0.30762258,7.877766e-8,4.472763e-7
YBR048W,242.7114,2.245834,0.2986329,4.472018e-15,9.209744e-14
YBR060C,81.47913,1.285084,0.24107167,4.873638e-8,2.873001e-7
YBR065C,99.25661,1.280869,0.2921589,5.68673e-6,2.318183e-5
YBR070C,57.17837,1.025426,0.33890955,0.00151319,0.003847845
YBR071W,53.60125,1.148784,0.32628403,2.359132e-4,7.159798e-4
YBR073W,70.93557,1.50627,0.26292837,3.84582e-9,2.781532e-8
YBR079C,486.9209,1.718022,0.21844617,1.056782e-15,2.411212e-14
YBR084W,123.3145,1.5699,0.27328937,3.194682e-9,2.345355e-8
YBR088C,30.617,1.943942,0.62435686,2.108887e-4,6.452806e-4
YBR092C,17.73748,1.68149,0.50343083,1.95494e-4,6.016586e-4
YBR108W,92.15899,1.342459,0.24644088,2.38924e-8,1.497525e-7
YBR121C,990.2611,1.960299,0.28689991,1.433963e-12,1.92704e-11
YBR141C,23.9283,1.087368,0.37590931,0.002167375,0.005310028
YBR142W,526.5618,2.2252,0.27703788,8.515789000000001e-17,2.326803e-15
YBR143C,147.4391,1.705562,0.26110961,1.843879e-11,2.009575e-10
YBR152W,105.8654,1.240765,0.26149029,1.077073e-6,5.045698e-6
YBR154C,42.43467,2.268116,0.39559268,6.742968e-10,5.540239e-9
YBR155W,277.9585,1.795966,0.30718758,1.178478e-9,9.33219e-9
YBR156C,63.62428,1.365111,0.35928235,6.186262e-5,2.076162e-4
YBR160W,32.0109,1.468707,0.37618097,3.493836e-5,1.225741e-4
YBR169C,1332.228,1.285737,0.28711122,3.667169e-6,1.541475e-5
YBR172C,898.9316,1.643588,0.25248515,2.372713e-11,2.53369e-10
YBR177C,279.3401,1.172935,0.31221314,9.280725e-5,3.01576e-4
YBR181C,321.2528,1.278474,0.37814026,3.36493e-4,9.863101e-4
YBR184W,27.08348,1.422782,0.34422588,1.43692e-5,5.422003e-5
YBR187W,43.41928,1.128335,0.40903177,0.003110345,0.007378055
YBR188C,64.61056,1.353236,0.28487089,9.196959e-7,4.36649e-6
YBR189W,659.2535,1.23641,0.46233966,0.003449609,0.008080084
YBR191W,153.8859,1.766231,0.32959281,2.034641e-8,1.298363e-7
YBR197C,13.18059,1.366608,0.43613635,6.944721e-4,0.001897905
YBR245C,572.1035,1.4202650000000001,0.20005383,5.470917e-13,7.995859e-12
YBR246W,228.6108,1.231019,0.28543739,8.317861e-6,3.277031e-5
