gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj
YAL003W,339.878,1.053832,0.33287365,7.914602e-4,0.002403175
YAL005C,3393.312,1.017553,0.38326428,0.004125475,0.01027738
YAL007C,89.64924,1.599887,0.27227475,9.650321e-10,9.841155e-9
YAL011W,282.2382,1.181984,0.20701416,5.201861e-9,4.660368e-8
YAL012W,169.7128,1.231218,0.47563061,0.003504599,0.00891326
YAL019W,325.8194,1.657464,0.21442219,2.290269e-15,7.191671e-14
YAL023C,84.96818,1.241828,0.31863831,3.907082e-5,1.616609e-4
YAL024C,153.5868,1.403481,0.23920761,1.450578e-9,1.426514e-8
YAL025C,154.6554,2.029255,0.36484457,2.346456e-9,2.214817e-8
YAL030W,47.07856,1.043312,0.2873064,1.494164e-4,5.363601e-4
YAL035W,3709.441,1.449369,0.22757457,5.818439e-11,7.67284e-10
YAL036C,95.42041,2.221963,0.37138138,1.194518e-10,1.440461e-9
YAL043C,136.438,1.059533,0.26576687,3.515116e-5,1.479521e-4
YAL046C,8.80192,1.535949,0.70197466,0.004422643,0.01091125
YAL053W,167.6226,1.777897,0.21043518,4.980682e-18,2.898391e-16
YAL059W,48.00991,1.289699,0.32094179,2.19002e-5,9.633355e-5
YAR002C-A,73.73389,1.34521,0.28220979,6.576272e-7,3.887539e-6
YAR008W,24.20052,1.282242,0.38004664,2.696038e-4,9.120518e-4
YAR014C,148.9108,1.142757,0.18866373,6.74712e-10,7.109134e-9
YAR042W,604.0617,1.513672,0.15932231,5.866222e-22,7.29597e-20
YBL004W,458.4792,1.693419,0.23155823,5.145298e-14,1.295104e-12
YBL010C,48.9875,1.357767,0.34198787,2.385706e-5,1.038609e-4
YBL023C,141.2786,1.878433,0.27059724,5.147539e-13,1.01716e-11
YBL024W,389.0724,1.708702,0.26239739,1.39692e-11,2.124859e-10
YBL031W,12.03667,1.133644,0.45929273,0.005766891,0.01379834
YBL034C,209.2005,1.253236,0.25475636,3.545744e-7,2.226798e-6
YBL035C,73.35337,1.035473,0.27879187,1.094724e-4,4.077413e-4
YBL039C,228.556,2.446609,0.3806415,3.741127e-12,6.344911e-11
YBL052C,383.9495,1.461097,0.22134017,1.225223e-11,1.877195e-10
YBL054W,43.03708,1.185884,0.41751459,0.001837316,0.005091348
YBL061C,377.2897,1.084745,0.20877051,1.059664e-7,7.378098e-7
YBL072C,410.1082,1.148725,0.45601419,0.004906761,0.01193847
YBL075C,344.9761,1.234336,0.51288793,0.005622702,0.01348386
YBL087C,126.3357,1.40271,0.56987598,0.003422401,0.008714688
YBL092W,690.3767,1.463441,0.51785767,0.001117201,0.003249154
YBL097W,256.5823,1.21652,0.24604377,3.298852e-7,2.086203e-6
YBR011C,135.809,1.312041,0.47152619,0.001736697,0.004833643
YBR014C,31.62288,1.086733,0.33060085,4.979243e-4,0.001592705
YBR017C,253.8332,1.050186,0.17492002,1.055585e-9,1.069581e-8
YBR025C,780.2726,1.05591,0.1940574,2.862322e-8,2.238682e-7
YBR030W,83.07708,2.15572,0.31275918,3.760582e-13,7.620885e-12
YBR031W,292.1394,1.04942,0.52403185,0.02038625,0.041686
YBR038W,337.5351,1.220112,0.22494543,2.525192e-8,2.002162e-7
YBR048W,242.7114,2.127931,0.30001835,9.772903e-14,2.305795e-12
YBR065C,99.25661,1.123367,0.29774604,7.704842e-5,2.963724e-4
YBR070C,57.17837,1.067361,0.32804499,5.74902e-4,0.001810266
YBR072W,2111.268,1.183996,0.54916329,0.01128522,0.02490681
YBR079C,486.9209,1.617945,0.22022826,4.639607e-14,1.177161e-12
YBR084W,123.3145,1.236917,0.27500794,2.843011e-6,1.512854e-5
YBR088C,30.617,1.078632,0.56916849,0.02407846,0.04848047
YBR108W,92.15899,1.189644,0.24878895,7.775548e-7,4.558254e-6
YBR118W,706.2313,1.680467,0.87382215,0.004042946,0.01010418
YBR121C,990.2611,2.009337,0.2875272,2.749076e-13,5.754913e-12
YBR142W,526.5618,2.206537,0.27832148,1.392801e-16,5.969281e-15
YBR143C,147.4391,1.520227,0.26305464,1.997556e-9,1.902477e-8
YBR152W,105.8654,1.108526,0.26257417,1.198868e-5,5.591487e-5
YBR154C,42.43467,1.538475,0.38795722,1.7301e-5,7.766472e-5
YBR155W,277.9585,2.00111,0.31314099,1.630268e-11,2.438866e-10
YBR156C,63.62428,1.48401,0.37604135,2.084785e-5,9.215187e-5
YBR160W,32.0109,1.733412,0.38674397,1.205825e-6,6.816886e-6
YBR169C,1332.228,1.54158,0.28795125,2.177953e-8,1.75092e-7
YBR172C,898.9316,1.981514,0.25475559,7.928727e-16,2.825389e-14
YBR177C,279.3401,1.541282,0.31410021,2.2993e-7,1.506659e-6
YBR181C,321.2528,1.046628,0.37321097,0.002545842,0.00674813
YBR184W,27.08348,1.615958,0.36225268,1.708905e-6,9.450381e-6
YBR188C,64.61056,1.795916,0.30090799,3.700845e-10,4.103926e-9
YBR189W,659.2535,1.235977,0.4586193,0.002580345,0.006825325
YBR193C,88.10897,1.231155,0.29884563,1.564218e-5,7.092088e-5
YBR197C,13.18059,1.40911,0.45750947,5.758166e-4,0.00181081
YBR245C,572.1035,1.300965,0.20093458,3.703805e-11,5.118351e-10
YBR247C,192.1827,1.016608,0.27788492,1.393646e-4,5.054259e-4
YBR257W,138.3471,1.00347,0.22261109,3.729973e-6,1.926647e-5
YBR261C,12.88323,1.049979,0.52476344,0.02044129,0.04177161
YBR267W,312.8383,2.008034,0.31923951,3.062952e-11,4.298297e-10
YBR275C,305.8213,1.464981,0.18756091,1.720313e-15,5.595871e-14
YBR292C,47.93395,1.115822,0.32711296,3.072586e-4,0.00102468
YCL014W,162.2802,1.487935,0.18719056,5.483366e-16,2.058047e-14
YCL024W,181.7858,1.649193,0.31407657,3.086702e-8,2.387677e-7
YCL029C,47.91958,1.195153,0.31601109,6.684547e-5,2.615674e-4
YCL031C,116.0104,1.023835,0.19144709,5.000241e-8,3.687968e-7
YCL037C,137.0476,1.980092,0.39469245,5.0106450000000003e-08,3.69135e-7
YCL054W,745.656,2.067218,0.28026148,1.421046e-14,4.006085e-13
YCL058W-A,114.6431,1.556217,0.3890472,1.44757e-5,6.615226e-5
YCL059C,274.9558,1.221942,0.24962486,4.203277e-7,2.601111e-6
YCL061C,343.532,1.683887,0.2261307,1.929419e-14,5.321001e-13
YCR016W,531.0972,1.15495,0.25303899,2.344175e-6,1.267613e-5
YCR020C,30.89609,1.958626,0.33726509,6.731663e-10,7.104648e-9
YCR025C,24.05352,1.178062,0.30194728,4.235835e-5,1.72562e-4
YCR031C,367.7796,1.337939,0.55425785,0.004453101,0.01097359
YCR035C,214.4372,1.326925,0.20608297,4.503873e-11,6.091272e-10
YCR036W,69.07342,1.529604,0.27872313,1.05516e-8,8.98373e-8
YCR051W,17.94626,1.577746,0.4654727,1.427298e-4,5.161547e-4
YCR052W,80.39242,1.679446,0.27049209,1.057526e-10,1.287502e-9
YCR053W,385.6077,1.203312,0.22569838,4.318559e-8,3.234076e-7
YCR065W,52.61409,1.653038,0.36673651,1.275713e-6,7.179991e-6
YCR071C,28.23897,1.025592,0.36687015,0.002694468,0.007088765
YCR072C,20.92423,1.075745,0.41199554,0.004288606,0.01062147
YCR086W,77.00369,1.645425,0.21703442,7.430583e-15,2.17199e-13
YCR087C-A,24.45162,1.165016,0.4370107,0.003176994,0.008185082
YCR088W,389.771,1.036379,0.23105484,3.977502e-6,2.042858e-5
YDL001W,279.8132,1.088747,0.17820172,5.218242e-10,5.642165e-9
YDL003W,129.008,1.733878,0.27197902,3.259186e-11,4.54352e-10
YDL015C,157.0243,1.109226,0.2203626,2.418345e-7,1.570068e-6
YDL019C,1377.262,1.175067,0.22371434,6.915391e-8,4.97328e-7
YDL031W,1032.999,1.610658,0.24095051,5.303733e-12,8.67051e-11
YDL039C,31.02073,1.24089,0.40915372,9.177928e-4,0.002738269
YDL040C,355.5489,1.313017,0.1551376,1.007425e-17,5.605348e-16
YDL042C,71.5096,1.924801,0.31454186,1.09473e-10,1.322642e-9
YDL051W,124.3299,1.286603,0.32535959,2.874381e-5,1.228585e-4
YDL058W,1008.888,1.150657,0.16035214,3.493358e-13,7.14786e-12
YDL060W,271.9591,1.997591,0.29580452,1.45895e-12,2.69015e-11
YDL061C,103.4359,1.556386,0.56632071,0.001120501,0.003257259
YDL075W,595.0307,2.083078,0.27059507,1.168713e-15,4.007108e-14
YDL082W,73.43126,1.2423,0.35736709,1.993283e-4,6.985299e-4
YDL092W,139.0666,1.072894,0.20711705,1.170404e-7,8.069425e-7
YDL093W,38.91717,1.235034,0.30530724,2.136085e-5,9.422246e-5
YDL101C,101.9566,1.215049,0.30496709,2.846712e-5,1.219223e-4
YDL112W,154.8513,1.012107,0.23820326,1.204209e-5,5.612269e-5
YDL122W,646.896,1.305227,0.16488612,9.616487e-16,3.351504e-14
YDL130W,1067.071,2.093101,0.3457682,1.094719e-10,1.322642e-9
YDL136W,190.0415,1.583071,0.50071333,3.040157e-4,0.001016538
YDL143W,432.8611,1.845669,0.20680257,6.596608e-20,5.731820000000001e-18
YDL148C,486.3368,2.439821,0.28935749,1.1258140000000001e-18,7.847297e-17
YDL150W,161.2756,1.518205,0.30089131,1.180009e-7,8.126818e-7
YDL153C,866.7919,1.621488,0.30586448,2.483788e-8,1.974269e-7
YDL157C,100.0204,1.040109,0.23052276,3.496314e-6,1.819288e-5
YDL164C,79.21807,1.39317,0.29274333,6.29684e-7,3.73978e-6
YDL191W,231.4399,1.520429,0.36601342,8.116509e-6,3.915058e-5
YDL197C,95.55487,1.420987,0.2958917,4.841851e-7,2.961607e-6
YDL201W,90.74198,1.299001,0.29644352,4.397964e-6,2.233489e-5
YDL207W,414.3915,1.042448,0.17571311,1.646672e-9,1.599516e-8
YDL208W,565.3455,1.987414,0.30085397,4.057169e-12,6.82616e-11
YDL209C,45.11554,1.232935,0.32078025,4.927431e-5,1.984425e-4
YDL213C,487.5654,1.64186,0.24137702,2.229703e-12,3.91773e-11
YDL239C,186.5318,1.290213,0.19419099,1.210771e-11,1.864059e-10
YDL243C,21.26771,1.229887,0.39950989,8.067596e-4,0.002446117
YDL246C,9.009635,1.241291,0.56580283,0.00920827,0.02082284
YDR001C,843.9231,1.051228,0.17106632,4.374576e-10,4.800681e-9
YDR002W,131.103,1.236488,0.25249377,4.071619e-7,2.533213e-6
YDR012W,311.6409,1.717475,0.54273898,2.17505e-4,7.534868e-4
YDR021W,21.92386,1.47767,0.39120984,4.162756e-5,1.700216e-4
YDR025W,306.7931,1.91993,0.37224365,2.793203e-8,2.187319e-7
YDR026C,356.8005,1.114692,0.15613821,4.78277e-13,9.539971e-12
YDR033W,693.9167,1.209224,0.27672495,5.34858e-6,2.686147e-5
YDR049W,228.0391,1.312712,0.20177744,2.958468e-11,4.179413e-10
YDR052C,256.1351,1.430839,0.19673889,1.122849e-13,2.599354e-12
YDR060W,769.4357,1.670348,0.28473291,8.901306e-10,9.121322e-9
YDR064W,463.7754,1.557109,0.52259264,5.719303e-4,0.001802163
YDR083W,416.5763,1.212352,0.21347268,5.954463e-9,5.253012e-8
YDR086C,46.63681,1.111193,0.31882471,2.359206e-4,8.119497e-4
YDR087C,85.57355,1.846988,0.31643032,7.301565e-10,7.617405e-9
YDR097C,111.6608,1.454527,0.29255074,1.940763e-7,1.287684e-6
YDR113C,45.29207,1.734381,0.33289723,3.221089e-8,2.476529e-7
YDR152W,139.811,1.639571,0.2666605,1.674302e-10,1.952224e-9
YDR156W,25.03976,1.468649,0.50713702,8.987736e-4,0.002685314
YDR157W,371.331,1.079293,0.26890303,3.057756e-5,1.300828e-4
YDR165W,101.4586,1.35967,0.299831,1.960483e-6,1.076653e-5
YDR172W,317.6933,1.601809,0.23343926,1.589033e-12,2.913075e-11
YDR183W,18.14883,1.496013,0.47911247,4.189291e-4,0.001362701
YDR184C,56.9296,2.575983,0.43774149,7.004104e-11,9.029885e-10
YDR218C,52.21705,2.10668,0.33465163,2.322326e-11,3.394128e-10
YDR226W,85.79791,1.519082,0.50746421,5.980018e-4,0.001869456
YDR227W,367.4301,1.105895,0.15707061,9.841535e-13,1.857883e-11
YDR245W,71.54271,1.175065,0.23103821,1.680705e-7,1.129312e-6
YDR266C,152.6661,1.424916,0.21058537,4.225397e-12,7.071688e-11
YDR285W,126.3886,1.130441,0.27307502,1.664975e-5,7.490027e-5
YDR299W,260.6135,1.751825,0.37729034,5.440146e-7,3.286366e-6
YDR309C,86.52401,2.664335,0.45435869,5.713878e-11,7.566415e-10
YDR310C,301.4146,1.783908,0.25773625,7.276997e-13,1.402978e-11
YDR311W,125.8183,1.043714,0.19562462,5.231784e-8,3.845331e-7
YDR312W,120.9385,1.528997,0.26586243,2.319582e-9,2.192714e-8
YDR324C,140.3108,1.304673,0.24778201,5.314702e-8,3.897243e-7
YDR325W,181.8091,1.429293,0.23939824,7.430443e-10,7.73913e-9
YDR329C,134.0548,1.01801,0.193892,8.577878e-8,6.099718e-7
YDR335W,573.1593,1.183836,0.19843228,1.118398e-9,1.122469e-8
YDR339C,168.9574,1.034548,0.22479587,2.295405e-6,1.2423e-5
YDR341C,210.5958,1.14014,0.20005032,5.855721e-9,5.180313e-8
YDR348C,103.5149,1.468771,0.3095654,5.907485e-7,3.527919e-6
YDR351W,304.9989,1.862935,0.17795602,1.741416e-26,3.808896e-24
YDR359C,190.6086,1.72846,0.22014219,7.616926e-16,2.729614e-14
YDR361C,56.74437,1.460496,0.29997092,3.239253e-7,2.056715e-6
YDR363W,201.4234,1.009293,0.21810805,2.096299e-6,1.140379e-5
YDR365C,731.063,2.121947,0.27750605,1.587222e-15,5.271072e-14
YDR374C,19.04953,1.09466,0.44681553,0.006461254,0.01524125
YDR382W,612.1747,1.161363,0.29790228,4.396821e-5,1.78547e-4
YDR398W,56.07005,1.033699,0.31883856,6.267578e-4,0.001943072
YDR412W,144.4839,1.652167,0.26683893,1.245051e-10,1.495712e-9
YDR418W,197.5301,1.591301,0.53081656,4.991215e-4,0.00159573
YDR420W,427.1768,1.561607,0.24946616,9.603967e-11,1.180581e-9
YDR429C,726.6985,1.103975,0.19445822,6.987694e-9,6.096691e-8
YDR440W,66.73949,1.334663,0.26005062,1.033151e-7,7.209328e-7
YDR446W,9.910044,1.280607,0.48592832,0.002805268,0.007349778
YDR450W,183.5973,1.530758,0.50139015,4.841372e-4,0.00155409
YDR451C,83.63925,1.112739,0.4358789,0.004754311,0.01161209
YDR452W,1169.781,1.157039,0.18325241,1.302587e-10,1.550152e-9
YDR454C,55.26719,1.908624,0.34983962,5.708575e-9,5.064265e-8
YDR464W,1075.282,1.180086,0.18546275,9.187091e-11,1.140386e-9
YDR478W,136.3223,1.436624,0.24038509,7.073714e-10,7.391856e-9
YDR486C,31.01066,1.264911,0.4147752,8.337249e-4,0.00251585
YDR496C,525.5524,1.690862,0.30729776,7.092359e-9,6.17951e-8
YDR499W,109.6349,1.006302,0.20073344,3.060475e-7,1.952977e-6
YDR507C,636.0872,2.193893,0.32136115,5.374836e-13,1.05224e-11
YDR515W,70.41509,1.987969,0.24080302,1.619871e-17,8.422e-16
YDR524C-B,384.059,1.577645,0.45087489,9.670909e-5,3.647002e-4
YDR527W,666.3766,1.395732,0.29030907,4.92719e-7,3.005112e-6
YDR533C,193.785,1.602841,0.41511769,2.310653e-5,1.010095e-4
YEL009C,292.1272,1.156183,0.56385326,0.01501898,0.03211915
YEL009C-A,17.28278,1.840241,0.36716918,7.182993e-8,5.159878e-7
YEL022W,282.3852,1.087741,0.16899453,6.411532e-11,8.385226e-10
YEL026W,183.8095,2.009477,0.70972442,2.423109e-4,8.299018e-4
YEL042W,113.2436,1.335671,0.25459114,5.607173e-8,4.092785e-7
YEL052W,139.2807,1.081344,0.21362384,2.163947e-7,1.420902e-6
YEL054C,530.8656,1.706136,0.25307204,2.977318e-12,5.104089e-11
YEL055C,392.6576,1.315023,0.21426043,3.181623e-10,3.559265e-9
YEL059C-A,40.5004,1.233807,0.4738213,0.003343892,0.008531902
YER006W,717.3697,2.20519,0.26841601,1.3367960000000001e-17,7.309736e-16
YER025W,477.6986,1.146935,0.21785986,6.736849e-8,4.850378e-7
YER031C,103.1606,1.890264,0.26837528,2.437503e-13,5.153694e-12
YER032W,149.4905,1.390105,0.2432253,3.654984e-9,3.350226e-8
YER056C-A,204.7427,1.375456,0.5445331,0.003090972,0.007995935
YER058W,128.2651,1.694955,0.27596903,1.563804e-10,1.833495e-9
YER064C,170.8647,1.279219,0.21676978,1.441812e-9,1.420095e-8
YER074W,579.4827,1.859299,0.31712782,6.083016e-10,6.473921e-9
YER082C,213.7429,2.240893,0.29076711,7.315123e-16,2.651419e-14
YER085C,7.398989,2.043511,0.62092637,5.776709e-5,2.298724e-4
YER087C-B,23.19246,1.571372,0.43444955,6.354143e-5,2.501821e-4
YER095W,28.968,1.424287,0.37489922,4.228845e-5,1.72388e-4
YER102W,667.8677,1.402373,0.40098004,1.390256e-4,5.044849e-4
YER106W,25.12812,1.924381,0.54742694,3.868474e-5,1.603667e-4
YER110C,146.622,1.485984,0.31911232,8.773028e-7,5.095908e-6
YER111C,322.5192,1.325016,0.21640269,3.431992e-10,3.825857e-9
YER114C,96.34917,1.158794,0.18754692,3.083216e-10,3.455272e-9
YER115C,142.7961,1.163245,0.21343699,2.366757e-8,1.885972e-7
YER120W,89.63982,1.599949,0.37453203,4.139016e-6,2.115534e-5
YER126C,68.41472,1.385145,0.36243385,4.153643e-5,1.699778e-4
YER127W,278.1197,1.684267,0.312213,1.311763e-8,1.100597e-7
YER128W,15.9204,1.106326,0.40837515,0.003087708,0.007990751
YER132C,241.3097,1.419558,0.19264474,5.60026e-14,1.398522e-12
YER137C,61.80711,1.696256,0.29410606,1.52059e-9,1.488442e-8
YER142C,83.09354,1.439784,0.32610591,2.966529e-6,1.569366e-5
YER145C,457.6052,1.037698,0.3473024,0.001455208,0.004118868
YER167W,246.8027,1.094269,0.19923995,2.046782e-8,1.658076e-7
YER175C,50.20017,1.082965,0.30239585,1.714499e-4,6.072066e-4
YER177W,501.7545,1.183385,0.33184857,1.568631e-4,5.602381e-4
YFL002C,329.6178,1.51758,0.18465066,5.700843e-17,2.582889e-15
YFL002W-A,1924.885,1.545214,0.49751372,3.96467e-4,0.001297214
YFL008W,401.6121,1.724438,0.27130256,3.756575e-11,5.172087e-10
YFL023W,371.6012,1.518957,0.27024437,5.051273e-9,4.551168e-8
YFL040W,129.4702,1.415434,0.26140505000000003,1.949565e-8,1.585396e-7
YFL060C,2.807511,2.427121,1.28009834,2.882028e-4,9.687706e-4
YFR009W,200.8789,1.006186,0.18587864,3.555537e-8,2.713932e-7
YFR016C,1165.051,1.161015,0.17758612,2.979486e-11,4.190439e-10
YFR017C,330.1093,1.022094,0.36589695,0.002725126,0.007161909
YFR019W,384.8879,1.470039,0.17097896,2.452144e-18,1.555395e-16
YFR023W,13.65607,2.450285,0.62276975,1.55627e-6,8.628862e-6
YFR028C,111.357,1.384836,0.26939323,9.09978e-8,6.427606e-7
YFR031C,400.6183,1.513528,0.14955028,1.2645319999999999e-24,2.056648e-22
YFR031C-A,466.0368,1.084294,0.38888891,0.002528589,0.006713622
YFR032C,18.1957,2.054889,0.46943296,8.736892e-7,5.07957e-6
YFR035W-A,32.30716,1.433364,0.51445665,0.001338822,0.003839957
YFR037C,69.2951,1.197602,0.28836015,1.42484e-5,6.526633e-5
YFR038W,278.7829,1.072847,0.17753722,8.062618e-10,8.342771e-9
YGL012W,105.8973,1.021654,0.34539137,0.001637017,0.004572257
YGL019W,86.29451,1.461992,0.28707525,1.023522e-7,7.167123e-7
YGL023C,48.41667,1.083165,0.29426065,1.169362e-4,4.324935e-4
YGL029W,276.1311,1.61776,0.40270812,1.186175e-5,5.544517e-5
YGL031C,320.2486,1.395826,0.33506183,9.738983e-6,4.637715e-5
YGL075C,27.25924,1.478251,0.38922277,3.831352e-5,1.591504e-4
YGL078C,279.598,1.786636,0.28210908,3.829016e-11,5.253845e-10
YGL086W,352.0875,1.042647,0.14221933,1.270197e-13,2.887764e-12
YGL090W,143.2004,1.167131,0.2120187,1.72873e-8,1.414882e-7
YGL099W,222.0627,1.793709,0.21565046,1.465665e-17,7.878571e-16
YGL105W,267.6107,1.730221,0.23935478,8.920295e-14,2.127122e-12
YGL108C,320.1725,1.236576,0.25035709,3.28582e-7,2.082113e-6
YGL111W,198.5832,1.72592,0.27101652,3.460814e-11,4.803488e-10
YGL120C,207.5309,1.811806,0.26699058,1.763251e-12,3.195515e-11
YGL128C,53.92408,1.384226,0.29158246,6.77378e-7,3.993131e-6
YGL133W,781.2703,1.276613,0.20526274,2.011268e-10,2.319541e-9
YGL137W,288.5036,1.069281,0.21648178,4.142067e-7,2.568244e-6
YGL148W,100.2036,1.569744,0.32840495,4.102282e-7,2.546785e-6
YGL163C,998.6765,1.612796,0.25778927,8.916015e-11,1.108907e-9
YGL171W,139.5204,1.483951,0.27230431,1.422273e-8,1.183921e-7
YGL173C,733.335,1.209219,0.14433561,2.4349720000000002e-17,1.206643e-15
YGL174W,81.77825,1.261178,0.28179819,3.037976e-6,1.604487e-5
YGL180W,375.5439,1.405145,0.18817543,2.731075e-14,7.27866e-13
YGL183C,31.8576,1.571733,0.44016472,7.537375e-5,2.911667e-4
YGL189C,535.754,1.470916,0.46259053,3.664763e-4,0.001205059
YGL203C,380.3915,1.586694,0.21471738,3.565532e-14,9.268922e-13
YGL207W,414.106,1.414536,0.18823556,1.873185e-14,5.211233e-13
YGL210W,69.64658,1.410615,0.20910031,4.978476e-12,8.202201e-11
YGL228W,354.5864,1.006614,0.19637937,1.694264e-7,1.136629e-6
YGL243W,16.01825,1.100587,0.43536982,0.005191252,0.01255361
YGL246C,55.89916,1.293778,0.27595103,1.048763e-6,5.993067e-6
YGR001C,515.9393,1.805303,0.25865869,4.616642e-13,9.237653e-12
YGR014W,332.6767,1.980844,0.25885043,2.120505e-15,6.72518e-14
YGR017W,104.3505,1.185247,0.26031362,2.366652e-6,1.276867e-5
YGR060W,585.5391,1.665104,0.50111406,1.46979e-4,5.288076e-4
YGR078C,28.86086,1.343047,0.4475341,8.429392e-4,0.002538824
YGR083C,801.1578,1.467812,0.221687,1.058523e-11,1.64564e-10
YGR085C,338.65,2.077333,0.33525325,4.683324e-11,6.320494e-10
YGR093W,174.008,1.285902,0.22520813,4.461144e-9,4.048217e-8
YGR094W,821.2665,1.353757,0.21614516,1.348638e-10,1.601949e-9
YGR102C,220.9094,1.045362,0.23961729,6.928752e-6,3.393751e-5
YGR103W,916.7725,1.008244,0.26411502,7.517808e-5,2.905878e-4
YGR123C,21.93194,1.124082,0.39686976,0.00208136,0.005678307
YGR128C,69.25417,1.277911,0.32414601,3.063885e-5,1.302562e-4
YGR145W,413.2979,1.739766,0.30151634,1.368682e-9,1.354376e-8
YGR148C,804.7811,1.180694,0.25241233,1.31214e-6,7.371926e-6
YGR152C,152.6724,1.231014,0.26052027,9.662404e-7,5.561581e-6
YGR153W,48.88008,1.472719,0.31456614,7.964769e-7,4.651982e-6
YGR159C,235.065,2.180822,0.3588981,7.549457e-11,9.577241e-10
YGR162W,652.2445,1.505032,0.23234237,2.584237e-11,3.742424e-10
YGR187C,110.4551,1.742518,0.27694831,5.478318e-11,7.300203e-10
YGR196C,260.9374,1.142357,0.17292506,1.931547e-11,2.842646e-10
YGR214W,57.49309,1.449921,0.38069108,3.879258e-5,1.606144e-4
YGR245C,260.0401,2.121461,0.28983801,1.895347e-14,5.249863e-13
YGR251W,171.8066,1.420408,0.27644727,8.674587e-8,6.16158e-7
YGR270W,757.5655,1.114682,0.1606328,2.00405e-12,3.590873e-11
YGR279C,487.7303,1.591245,0.23950406,7.253177e-12,1.155952e-10
YGR283C,176.1852,1.877498,0.25846066,5.041419e-14,1.274013e-12
YGR285C,1345.359,2.063967,0.26134883,2.537782e-16,1.022971e-14
YHL001W,1476.68,1.35276,0.30747544,3.711427e-6,1.918629e-5
YHL007C,249.415,1.292763,0.20269053,7.068595e-11,9.094544e-10
YHL031C,53.66335,1.326324,0.32628275,1.69349e-5,7.612906e-5
YHL033C,89.24236,1.380483,0.39187366,1.319489e-4,4.810068e-4
YHR007C,1757.461,1.282669,0.52297027,0.004542308,0.01117172
YHR008C,390.7334,1.270709,0.30936482,1.548665e-5,7.026597e-5
YHR019C,209.3357,1.4624220000000001,0.42611522,1.566345e-4,5.597368e-4
YHR023W,591.4431,1.716211,0.19204461,7.722142999999999e-20,6.619129e-18
YHR040W,30.89478,1.453088,0.43636839,2.285933e-4,7.897427e-4
YHR052C-B,50.45393,2.54316,2.13275551,3.236879e-4,0.001073824
YHR052W,128.0232,1.900705,0.29492463,1.443734e-11,2.190815e-10
YHR057C,29.18245,1.063755,0.41417749,0.00492293,0.01197322
YHR064C,295.6675,1.714437,0.24022844,1.802163e-13,3.888137e-12
YHR066W,247.0754,2.136051,0.36078881,2.198681e-10,2.521923e-9
YHR068W,167.9028,1.548254,0.30927131,1.367883e-7,9.32955e-7
YHR079C,282.9272,1.032789,0.19068208,3.384871e-8,2.586775e-7
YHR088W,176.8739,1.785779,0.29141104,1.411548e-10,1.66421e-9
YHR089C,196.1333,2.34764,0.30704004,8.722052e-16,3.056573e-14
YHR107C,300.8386,1.5691329999999999,0.17847869,3.73742e-19,2.9267230000000005e-17
YHR117W,193.4211,1.051976,0.21633841,6.248821e-7,3.714739e-6
YHR119W,404.0993,1.469887,0.15724299,2.710981e-21,2.9145349999999997e-19
YHR127W,41.5565,1.28308,0.28499123,2.591195e-6,1.389345e-5
YHR129C,22.41254,1.297763,0.39082227,3.16636e-4,0.00105153
YHR149C,67.13667,1.341713,0.32508104,1.264174e-5,5.844501e-5
YHR153C,15.81178,1.505861,0.50389834,6.256062e-4,0.001941399
YHR154W,352.5123,1.90302,0.30456923,5.110982e-11,6.868423e-10
YHR169W,45.58305,1.187273,0.26228574,2.67395e-6,1.427682e-5
YHR170W,170.4801,1.814492,0.30612095,4.558078e-10,4.993418e-9
YHR175W-A,210.1492,1.322081,0.31103227,7.633365e-6,3.693245e-5
YHR179W,418.3143,1.437781,0.25476712,5.118929e-9,4.59906e-8
